21921 - 2019-07-03 22:48:38,894 - (0, 0): {'train_loss': 0.3007051944732666}
21921 - 2019-07-03 22:48:49,368 - (0, 20): {'train_loss': 0.271729439496994}
21921 - 2019-07-03 22:48:50,483 - (0, 40): {'train_loss': 0.2314811646938324}
21921 - 2019-07-03 22:49:41,138 - (0, 0): {'test_psnr': 13.116435784946095, 'test_ssim': 0.17293546252503925, 'test_loss': 0.1855307}
21921 - 2019-07-03 22:50:16,599 - (1, 49): {'train_loss': 0.2237183302640915}
21921 - 2019-07-03 22:50:25,562 - (1, 69): {'train_loss': 0.14300134778022766}
21921 - 2019-07-03 22:50:26,546 - (1, 89): {'train_loss': 0.14638453722000122}
21921 - 2019-07-03 22:51:10,489 - (2, 98): {'train_loss': 0.0813576802611351}
21921 - 2019-07-03 22:51:12,292 - (2, 118): {'train_loss': 0.08709277957677841}
21921 - 2019-07-03 22:51:13,330 - (2, 138): {'train_loss': 0.061620842665433884}
21921 - 2019-07-03 22:51:50,093 - (3, 147): {'train_loss': 0.09997886419296265}
21921 - 2019-07-03 22:51:59,462 - (3, 167): {'train_loss': 0.11953544616699219}
21921 - 2019-07-03 22:52:00,468 - (3, 187): {'train_loss': 0.08308231085538864}
